game_id,white_player,black_player,white_elo,black_elo,game_started_at,game_ended_at,moves,winner,status,eco,name_of_opening,game_duration,num_of_moves
18lA4PPt,dimke1997,Godfroi,2576,2597,2023-02-25 13:40:12.682000+00:00,2023-02-25 13:43:55.517000+00:00,e4 c5 Nf3 Nc6 Bb5 Nf6 Bxc6 dxc6 d3 Qc7 h3 e5 Be3 Be6 Nc3 h6 b3 O-O-O Qe2 g5 Nd2 Qa5 Na4 g4 h4 Nh5 g3 Bg7 Nxc5 Nf4 Qf1 b6 Nxe6 Nxe6 Qe2 h5 O-O Nf4 gxf4 exf4 Bxf4 Bxa1 Rxa1 f5 Nc4 Qc3 Re1 fxe4 Qxe4 Qf6 Bg5 Qf3 Qxf3 gxf3 Bxd8 Rxd8 Ne5 c5 Nxf3 Rf8 Ng5 Rf4 Re4,white,resign,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,0 days 00:03:42.835000,31
GDncKnwW,dimke1997,voraylk,2595,2588,2023-02-25 12:45:45.798000+00:00,2023-02-25 12:50:44.308000+00:00,d4 e6 c4 Bb4+ Bd2 Bxd2+ Qxd2 Nf6 Nc3 d5 e3 O-O Nf3 Qe7 cxd5 exd5 Bd3 Nc6 a3 Bg4 Be2 a6 O-O Na7 Rac1 c6 Ne5 Bxe2 Nxe2 Nb5 Nf4 Nd6 Nfd3 Nfe4 Qc2 f6 Nf3 a5 a4 g5 Nc5 h5 Rb1 h4 b4 axb4 Rxb4 Ra7 Rfb1 Kg7 Nd2 Nxd2 Qxd2 Rf7 Qb2 Ne4 Rxb7 Rxb7 Qxb7 Nxc5 Qxe7 Rxe7 dxc5 Ra7 Rb6 Rxa4 h3 Ra1+ Kh2 Ra2 Rxc6 Rxf2 Rd6 Re2 Rxd5 Rxe3 c6 Rc3 Rd7+ Kg6 c7 Kf5 Re7 Rc1 Rd7 Ke6 Rh7 Kd6 Rf7 Ke5 Re7+ Kf4 Rd7 f5 Rd4+ Ke5 Rd7 g4 hxg4 fxg4 Rg7 Kf5 Rf7+ Kg6 Rf4 Kg5 Rf7 g3+ Kh3 Rh1#,black,mate,A40,Kangaroo Defense,0 days 00:04:58.510000,55
MJTa7gzC,dimke1997,Nadigraj,2606,2756,2023-02-09 17:40:11.553000+00:00,2023-02-09 17:44:55.698000+00:00,d4 e6 c4 c5 d5 exd5 cxd5 d6 Nc3 a6 e4 b5 f4 b4 Nb1 Nf6 Nd2 g6 Ngf3 Bg7 Bd3 O-O O-O Re8 Kh1 Nbd7 a4 Nb6 a5 c4 Bb1 c3 axb6 cxd2 Bxd2 Nxe4 Bxe4 Rxe4 Qc2 Re7 Bxb4 Qxb6 Bc3 Bb7 f5 Bxc3 Qxc3 Bxd5 f6 Re3 Rxa6 Qxa6 Qxe3 Qxf1+,black,resign,A40,Horwitz Defense,0 days 00:04:44.145000,27
jmvjOfbL,dimke1997,Attila76,2618,2595,2022-10-02 08:26:27.910000+00:00,2022-10-02 08:31:39.126000+00:00,e4 e6 d3 d5 Qe2 Ne7 Nf3 h6 h4 g6 g3 Bg7 Bg2 O-O O-O f5 c3 fxe4 dxe4 c6 Bf4 Nd7 Nbd2 Nf6 e5 Nh5 Be3 Nf5 Bc5 Rf7 Nd4 Nfxg3 fxg3 Nxg3 Qg4 Nxf1 Rxf1 Rxf1+ Nxf1 Qe8 Nf3 Qf7 Bd6 Bd7 Ne3 Kh7 Kh2 b6 Kg3 c5 Bf1 Bf8 Bd3 Kg7 c4 d4 Ng2 Bxd6 exd6 e5 Nxe5 Bxg4 Nxf7 Kxf7 Kxg4 Rd8 Be4 Rxd6 Bd5+ Kf6 Nf4 h5+ Kf3 Ke5 Nd3+ Kf5 Be4+ Kf6 Kf4 Re6 b3 Re7 Nf2 Re5 Nh3 Re8 Ng5 Kg7 Nf3 Kf6 Ng5 Re7 Bd3 Re3 Ne4+ Kg7 Bf1 Re1 Bd3 Rd1 Nf2 Rd2 Kf3 Rxa2 Ne4 Rb2 Nd6 Rxb3 Ke4 a5 Nc8 a4,black,resign,C00,French Defense: King's Indian Attack,0 days 00:05:11.216000,56
QDNQPJ9a,Thepossimpible,dimke1997,2497,2622,2022-09-30 00:40:22.032000+00:00,2022-09-30 00:46:10.759000+00:00,d4 Nf6 c4 g6 g3 Bg7 Bg2 O-O Nc3 d6 Nf3 c6 O-O Bf5 Nh4 Be6 d5 cxd5 cxd5 Bd7 e4 Na6 Be3 Ng4 Bd4 Ne5 Rc1 Rc8 f4 Nc4 Bxg7 Kxg7 Qd4+ Kg8 e5 Qb6 Qxb6 axb6 b3 Ne3 Rfe1 Nxg2 Nxg2 Rc5 exd6 Rfc8 dxe7 Rxc3 Rxc3 Rxc3 e8=Q+ Bxe8 Rxe8+ Kg7 Re7 Nc5 b4 Nd3 d6 Rc1+ Ne1 Nxe1 d7 Rd1 d8=Q Rxd8 Rxe1 Rd4 a3 Rd3 Re7 Rxa3 Rxb7 Ra2 Rxb6 h5 b5 Rb2 h3 Kg8 Kf1 Kg7 h4 Kg8 f5 Kg7 fxg6 fxg6 Rb8 Kf6 b6 Kf5 b7 Kg4 Rg8 Rxb7 Rxg6+ Kf3 Ke1 Re7+ Kd2 Rd7+ Kc3 Rd8 Rg5 Rd7 Kc4 Rd8 Kc5 Rd1 Kc6 Rd2 Rxh5 Kxg3 Rh7 Kg4 h5 Kg5 h6 Rh2 Rh8 Rxh6+ Rxh6 Kxh6,draw,draw,E62,"King's Indian Defense: Fianchetto Variation, Larsen Defense",0 days 00:05:48.727000,62
qYFG2UkI,dimke1997,Thepossimpible,2626,2495,2022-09-30 00:34:06.925000+00:00,2022-09-30 00:40:10.966000+00:00,d4 d5 c4 dxc4 Nf3 Nf6 e3 e6 Bxc4 c5 O-O Nc6 Nc3 a6 d5 Na5 b3 b5 Nxb5 axb5 Bxb5+ Bd7 Bxd7+ Qxd7 dxe6 Qxd1 exf7+ Kxf7 Rxd1 Nxb3 Rb1 Nxc1 Rdxc1 Rxa2 Rb7+ Kg6 h3 Bd6 g4 h6 Nh4+ Kh7 Nf5 Bf8 Rxc5 Ra4 Rcc7 Rg8 f3 Kh8 e4 g6 e5 gxf5 exf6 Rg6 Rc6 fxg4 fxg4 Rf4 Rbb6 h5 Kg2 hxg4 Kg3 Rf3+ Kg2 Rxh3 Rb8 Kg8 f7+ Kxf7 Rxg6 Kxg6 Rxf8 Kg5 Rg8+ Kf4 Rf8+ Kg5 Ra8 Kf4 Ra4+ Kg5 Ra2 Kh4 Rc2 Rg3+ Kh2 Rf3 Rc8 Rh3+ Kg2 Rg3+,draw,draw,D26,"Queen's Gambit Accepted: Classical Defense, Steinitz Variation, Development Variation",0 days 00:06:04.041000,47
46uURbJe,the_forgotten20,dimke1997,2582,2615,2022-09-30 00:28:52.582000+00:00,2022-09-30 00:32:53.021000+00:00,d4 Nf6 c4 g6 Nc3 Bg7 e4 d6 f4 c5 d5 O-O Nf3 e6 Be2 exd5 cxd5 Bg4 O-O Na6 Re1 Nd7 h3 Bxf3 Bxf3 Re8 Kh1 Nc7 a4 a6 a5 Rb8 Be3 b5 axb6 Rxb6 Qc2 Rb4 Bf2 Qb8 Ra2 Nb5 Nxb5 Qxb5 Re2 c4 Bg4 Nc5 Bxc5 Qxc5 Rxa6 h5 Rc6 Qb5 Bd7 Rxb2 Qxb2 Bxb2 Bxe8 c3 Rc8 Qa6 Bd7+ Kg7 Re1 Qb7,black,outoftime,E77,"King's Indian Defense: Four Pawns Attack, Normal Attack",0 days 00:04:00.439000,33
AvqaCnTq,eldaruralsk,dimke1997,2522,2606,2022-09-20 06:25:48.207000+00:00,2022-09-20 06:29:24.783000+00:00,d4 Nf6 Nc3 e6 Bg5 d5 e3 Be7 Qf3 O-O g4 c5 Nge2 Nc6 O-O-O b5 Nxb5 Rb8 Nec3 a6 Na3 Qb6 Na4 Qb4 Bxf6 Bxf6 g5 Be7 Bd3 Qxa4 Qh5 g6 Qh6 Rd8 dxc5 Qb4 Nb1 Qxb2+ Kd2 Qg7 Qh4 e5 Nc3 Be6 Qa4 Nb4 c6 Rbc8 h4 e4 Bxa6 Rxc6 Bb5 Qxc3+,black,resign,A45,Indian Defense,0 days 00:03:36.576000,27
k4AYlrup,MrTarrasch,dimke1997,2573,2595,2022-09-18 21:19:53.516000+00:00,2022-09-18 21:20:58.025000+00:00,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 Nc6 Bc4 e6 Bb3 a6 Rg1 Bd7 g4 Nxd4 Qxd4 Bc6 g5 Nd7 Be3 b5 O-O-O a5 a4 bxa4 Nxa4 Rb8 f4 Rb4,black,resign,B88,"Sicilian Defense: Sozin Attack, Leonhardt Variation",0 days 00:01:04.509000,16
OrGfSlcX,dimke1997,Nadigraj,2601,2783,2022-09-18 08:27:20.329000+00:00,2022-09-18 08:33:00.699000+00:00,e4 c5 Nf3 d6 Bb5+ Nd7 O-O a6 Bxd7+ Bxd7 d4 cxd4 Nxd4 Rc8 b3 e5 Nf5 Bxf5 exf5 Qd7 Qd3 Ne7 f6 gxf6 c4 d5 Rd1 Qc6 Nd2 d4 Ne4 f5 Ng3 Rg8 f4 h5 Qe2 e4 Nxh5 d3 Qe3 Ng6 Bb2 Be7 Re1 Nh4 Ng7+ Kf8 Rad1 Rxg7 Bxg7+ Kxg7 Qg3+ Qg6 Qh3 Bc5+ Kh1 Rh8,black,resign,B51,Sicilian Defense: Moscow Variation,0 days 00:05:40.370000,29
